doc,short,title,layer,kind,file,publisher,url,license,distribution,retrieved,date_pin,md5,bytes,pages,words,in_base_corpus
29 CFR 1910 subpart J,29 CFR 1910 subpart J,"General environmental controls (lockout/tagout, confined spaces)",regulation,xml,cfr/title29_1910_subpartJ.xml,US Office of the Federal Register (eCFR),https://www.ecfr.gov/api/versioner/v1/full/2025-08-01/title-29.xml?part=1910&subpart=J,US Government edict - public domain (17 USC 105),Unrestricted,2026-09-02,2025-08-01,df9138b5faba6f38ee6758518067261c,160797,-1,22765,True
29 CFR 1910 subpart N,29 CFR 1910 subpart N,"Materials handling and storage (forklifts, cranes, slings)",regulation,xml,cfr/title29_1910_subpartN.xml,US Office of the Federal Register (eCFR),https://www.ecfr.gov/api/versioner/v1/full/2025-08-01/title-29.xml?part=1910&subpart=N,US Government edict - public domain (17 USC 105),Unrestricted,2026-09-02,2025-08-01,49ce4f26cfb88a1c80228d57304e9564,202844,-1,27208,True
29 CFR 1910 subpart O,29 CFR 1910 subpart O,Machinery and machine guarding,regulation,xml,cfr/title29_1910_subpartO.xml,US Office of the Federal Register (eCFR),https://www.ecfr.gov/api/versioner/v1/full/2025-08-01/title-29.xml?part=1910&subpart=O,US Government edict - public domain (17 USC 105),Unrestricted,2026-09-02,2025-08-01,bd6fcfb02c1494f15072a543ba81074a,323028,-1,34752,True
29 CFR 1910 subpart Q,29 CFR 1910 subpart Q,"Welding, cutting and brazing",regulation,xml,cfr/title29_1910_subpartQ.xml,US Office of the Federal Register (eCFR),https://www.ecfr.gov/api/versioner/v1/full/2025-08-01/title-29.xml?part=1910&subpart=Q,US Government edict - public domain (17 USC 105),Unrestricted,2026-09-02,2025-08-01,ee0417be12a6cbdb1d91c1444d01980a,110543,-1,15475,True
29 CFR 1910 subpart S,29 CFR 1910 subpart S,Electrical,regulation,xml,cfr/title29_1910_subpartS.xml,US Office of the Federal Register (eCFR),https://www.ecfr.gov/api/versioner/v1/full/2025-08-01/title-29.xml?part=1910&subpart=S,US Government edict - public domain (17 USC 105),Unrestricted,2026-09-02,2025-08-01,bd406e310af3ce043f4853d9f486b597,286486,-1,35824,True
30 CFR part 56,30 CFR part 56,"MSHA safety and health standards, surface metal and nonmetal mines",regulation,xml,cfr/title30_part56.xml,US Office of the Federal Register (eCFR),https://www.ecfr.gov/api/versioner/v1/full/2025-08-01/title-30.xml?part=56,US Government edict - public domain (17 USC 105),Unrestricted,2026-09-02,2025-08-01,872e976863c3ce55e312b29261e3433e,318591,-1,25650,True
30 CFR part 57,30 CFR part 57,"MSHA underground mines - OPT-IN, the duplicate-corpus lab only",regulation,xml,cfr/title30_part57.xml,US Office of the Federal Register (eCFR),https://www.ecfr.gov/api/versioner/v1/full/2025-08-01/title-30.xml?part=57,US Government edict - public domain (17 USC 105),Unrestricted,2026-09-02,2025-08-01,77dc70bdeb746cc7260502cb181c392e,533126,-1,46336,False
USBR FIST 1-1,USBR FIST 1-1,Hazardous Energy Control Program,site_procedure,pdf,pdf/FIST_1-1.pdf,US Bureau of Reclamation,https://www.usbr.gov/power/data/fist/fist1_1/FIST_1-1.pdf,US Government work - public domain,Unrestricted,2026-09-02,,2e4d0169da51961f8e869f8f49a7a10a,3192471,98,18528,True
USBR FIST 2-4,USBR FIST 2-4,Preventive Maintenance,site_procedure,pdf,pdf/FIST_2-4.pdf,US Bureau of Reclamation,https://www.usbr.gov/power/data/fist/FIST_2-4_(5-2024).pdf,US Government work - public domain,Unrestricted,2026-09-02,,bd5d4ff2d15717d345a15c1501e89718,1299067,49,12494,True
USBR FIST 2-6,USBR FIST 2-6,Water and Oil Systems Maintenance,site_procedure,pdf,pdf/FIST_2-6.pdf,US Bureau of Reclamation,https://www.usbr.gov/power/data/fist/FIST_2-6_(01-2026).pdf,US Government work - public domain,Unrestricted,2026-09-02,,8aa52f3f2c88a581f43f6a3d0ca1ef25,2947845,87,21166,True
TM 9-6115-464-12,TM 9-6115-464-12,"15 kW Generator Set, Operator and Unit Maintenance",equipment,pdf,pdf/TM-9-6115-464-12.pdf,US Army (public mirror: liberatedmanuals.com),https://liberatedmanuals.com/TM-9-6115-464-12.pdf,US Government work - public domain,DISTRIBUTION STATEMENT A - verified in the extracted text,2026-09-02,,0513d9591efbf5dad2e10bf3a0cb7791,3545880,367,92809,True
OSHA 3120,OSHA 3120,Control of Hazardous Energy (Lockout/Tagout),plain_language,pdf,pdf/osha3120.pdf,US Occupational Safety and Health Administration,https://www.osha.gov/sites/default/files/publications/osha3120.pdf,US Government work - public domain,Unrestricted,2026-09-02,,66c15edd502316b84da3fb5a5cc06ed3,492525,46,9001,True
OSHA 3170,OSHA 3170,Safeguarding Equipment and Protecting Employees from Amputations,plain_language,pdf,pdf/osha3170.pdf,US Occupational Safety and Health Administration,https://www.osha.gov/sites/default/files/publications/osha3170.pdf,US Government work - public domain,Unrestricted,2026-09-02,,389a1615cd4b8cc60c84f8162130bdc6,591876,61,25633,True
